country,country_code,series,seriescode,measure,period,D1,D2,D3,data, 
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018FEB ,,,,104.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAR ,,,,104.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018APR ,,,,104.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018JAN ,,,,104.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAY ,,,,104.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JAN ,,,,103.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017DEC ,,,,104.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017APR ,,,,103.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAR ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017FEB ,,,,103.4,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAY ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUN ,,,,103.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUL ,,,,103.7,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017AUG ,,,,103.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017SEP ,,,,104.1,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017OCT ,,,,104.2,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017NOV ,,,,104.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016NOV ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016OCT ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016SEP ,,,,103.4,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016AUG ,,,,103.3,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUL ,,,,103.2,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUN ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAY ,,,,103.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016FEB ,,,,103.2,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAR ,,,,103.3,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016APR ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016DEC ,,,,103.7,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JAN ,,,,103.1,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JAN ,,,,103.2,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015DEC ,,,,103.4,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015APR ,,,,103.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAR ,,,,103.3,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015FEB ,,,,103,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAY ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUN ,,,,103.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUL ,,,,103.7,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015AUG ,,,,103.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015SEP ,,,,103.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015OCT ,,,,103.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015NOV ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014NOV ,,,,103.2,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014OCT ,,,,103.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014SEP ,,,,103.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014AUG ,,,,103.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014JUL ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014DEC ,,,,103.3,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014JAN ,,,,100.7,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014FEB ,,,,100.7,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014MAR ,,,,101,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014APR ,,,,103.1,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014MAY ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014JUN ,,,,103.4,/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018FEB ,,,,112.2,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018MAR ,,,,110.6,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018APR ,,,,109.5,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018JAN ,,,,112.8,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018MAY ,,,,109.5,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JAN ,,,,109.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017NOV ,,,,110,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017DEC ,,,,111.1,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017SEP ,,,,109.6,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017OCT ,,,,108.9,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017APR ,,,,108.8,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017MAY ,,,,108.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017MAR ,,,,108.6,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JUN ,,,,108.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JUL ,,,,108.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017AUG ,,,,108.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017FEB ,,,,108.9,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016FEB ,,,,108,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016AUG ,,,,107.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JUN ,,,,107.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JUL ,,,,107.6,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016MAR ,,,,107.9,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016MAY ,,,,107.8,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016APR ,,,,107.8,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016OCT ,,,,110.3,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016NOV ,,,,110.2,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016SEP ,,,,108.5,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016DEC ,,,,109.2,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JAN ,,,,107.5,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JAN ,,,,105.9,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015DEC ,,,,106.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015SEP ,,,,107.9,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015NOV ,,,,106.3,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015OCT ,,,,107.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015MAY ,,,,107.1,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015MAR ,,,,105.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015APR ,,,,106.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JUL ,,,,106.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JUN ,,,,106.5,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015AUG ,,,,107.1,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015FEB ,,,,105.4,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014AUG ,,,,104.2,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014JUL ,,,,103.7,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014OCT ,,,,104,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014NOV ,,,,103.3,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014SEP ,,,,105.5,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014DEC ,,,,104.2,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014JAN ,,,,101.6,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014FEB ,,,,101.3,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014MAR ,,,,101.2,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014APR ,,,,103.8,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014MAY ,,,,103.9,/941/1765
Japan,392,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014JUN ,,,,103.7,/941/1765
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAY ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018JAN ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018FEB ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018APR ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAR ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAR ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017APR ,,,,113,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017FEB ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUN ,,,,113.2,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAY ,,,,113.4,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUL ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017SEP ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017AUG ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017OCT ,,,,113,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017NOV ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JAN ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017DEC ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016DEC ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JAN ,,,,112.7,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016NOV ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016OCT ,,,,112.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016AUG ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016SEP ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUL ,,,,112.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAY ,,,,111.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUN ,,,,112.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016FEB ,,,,112.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016APR ,,,,112.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAR ,,,,112.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015APR ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015FEB ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAR ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUN ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAY ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUL ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015SEP ,,,,113.2,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015AUG ,,,,113.2,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015OCT ,,,,112.7,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015NOV ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JAN ,,,,113.4,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015DEC ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014DEC ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014NOV ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014OCT ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014SEP ,,,,113.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014JUL ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014AUG ,,,,114.1,
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018FEB ,,,,119.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018MAR ,,,,119,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018APR ,,,,119.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018MAY ,,,,118.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018JAN ,,,,118.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JAN ,,,,117.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017DEC ,,,,118.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017NOV ,,,,118.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017AUG ,,,,117.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017SEP ,,,,118.1,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017OCT ,,,,118.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017APR ,,,,117.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017MAR ,,,,117.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JUN ,,,,117.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017MAY ,,,,117.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JUL ,,,,118,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017FEB ,,,,117.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016FEB ,,,,115.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JUL ,,,,116.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016AUG ,,,,116.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JUN ,,,,116.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016MAR ,,,,115.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016APR ,,,,116.1,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016MAY ,,,,116.1,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016OCT ,,,,116.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016SEP ,,,,116.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016NOV ,,,,116.7,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016DEC ,,,,116.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JAN ,,,,115.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JAN ,,,,113.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015DEC ,,,,114.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015NOV ,,,,114.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015SEP ,,,,114.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015OCT ,,,,114.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015MAY ,,,,113.7,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015APR ,,,,113.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015MAR ,,,,113.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JUN ,,,,113.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015AUG ,,,,114,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JUL ,,,,113.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015FEB ,,,,113.7,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014JUL ,,,,111.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014AUG ,,,,112,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014OCT ,,,,112.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014SEP ,,,,112.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014NOV ,,,,112.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014DEC ,,,,112.9,/1765
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAY ,,,,115.4,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018JAN ,,,,113.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018APR ,,,,114.9,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018FEB ,,,,114.2,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAR ,,,,114.4,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAR ,,,,111.8,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017FEB ,,,,111.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017APR ,,,,112.1,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAY ,,,,112.2,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUL ,,,,112.3,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUN ,,,,112.3,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017AUG ,,,,112.6,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017SEP ,,,,113.2,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017OCT ,,,,113.1,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JAN ,,,,111.4,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017NOV ,,,,113.1,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017DEC ,,,,113.1,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016DEC ,,,,110.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016NOV ,,,,110.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JAN ,,,,108.6,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016OCT ,,,,110.9,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016SEP ,,,,110.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016AUG ,,,,110.5,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUL ,,,,110.4,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAY ,,,,110.2,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUN ,,,,110.5,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016APR ,,,,109.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016FEB ,,,,108.7,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAR ,,,,109.2,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAR ,,,,108.3,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015FEB ,,,,107.6,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015APR ,,,,108.5,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUN ,,,,109.4,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAY ,,,,109.1,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUL ,,,,109.4,/989
United States,840,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015AUG ,,,,109.3,/989
